Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
1,27,6.73,0.01,4.11
11,30,6.9,0.22,12.99
20,34,6.97,0.41,48.7
20,33,7.02,0.39,48.06
4,31,6.8,0.07,6.33
13,32,6.96,0.28,25.55
2,30,6.75,0.01,5.38
12,32,6.98,0.23,18.88
30,30,6.91,0.45,59.69
23,34,7.04,0.42,54.93
25,36,7.07,0.44,59.33
21,33,7.01,0.4,49.69
23,34,7.05,0.44,54.86
25,34,7.12,0.43,59.44
3,31,6.77,0.04,5.4
4,31,6.8,0.05,5.47
4,30,6.76,0.07,6.25
30,28,6.89,0.44,60.28
24,36,7.11,0.42,57.07
27,33,7.09,0.44,61.69
24,36,7.08,0.43,57.09
13,32,6.99,0.27,25.87
7,29,6.81,0.15,4.3
23,33,7.06,0.43,54.96
30,28,6.9,0.43,60.94
20,33,6.99,0.39,47.79
26,34,7.08,0.43,59.88
2,30,6.76,0.02,5.6
0,26,6.67,0.0,0.0
12,30,6.92,0.26,19.79
21,33,7.01,0.42,50.26
26,35,7.11,0.43,60.26
10,30,6.88,0.2,8.05
11,30,6.92,0.21,12.75
20,33,6.99,0.39,48.44
11,30,6.93,0.23,13.57
2,28,6.74,0.0,0.0
24,34,7.09,0.41,57.39
27,35,7.07,0.43,61.39
6,30,6.82,0.09,4.04
4,30,6.76,0.05,6.51
25,36,7.11,0.43,59.6
11,31,6.92,0.22,12.95
10,29,6.88,0.21,8.53
30,30,6.85,0.46,61.19
19,32,6.96,0.38,47.15
14,34,7.0,0.3,30.87
10,30,6.9,0.21,8.86
26,35,7.09,0.45,60.78
30,30,6.92,0.45,60.87
13,31,6.98,0.29,24.42
26,34,7.1,0.42,60.5
18,32,6.99,0.37,44.66
25,34,7.1,0.43,60.36
24,35,7.09,0.43,56.81
29,32,7.0,0.46,62.82
23,35,7.06,0.42,55.11
22,33,7.03,0.41,51.77
30,29,6.88,0.46,60.24
26,35,7.13,0.44,60.99
12,32,6.97,0.26,18.94
15,33,7.02,0.34,35.23
8,31,6.86,0.15,4.64
19,32,6.98,0.43,47.08
14,32,7.01,0.29,31.14
9,29,6.88,0.16,5.57
7,29,6.82,0.14,4.01
29,31,6.99,0.43,61.92
28,33,7.07,0.45,62.36
22,35,7.02,0.42,52.52
25,34,7.1,0.46,59.68
28,32,7.04,0.45,62.2
19,34,7.01,0.39,47.2
25,34,7.11,0.45,58.22
3,30,6.78,0.04,5.37
19,34,6.96,0.39,46.59
20,32,6.97,0.39,48.33
29,31,6.99,0.44,61.42
2,29,6.76,0.04,4.75
29,33,6.98,0.46,61.47
18,34,6.99,0.38,45.23
3,30,6.76,0.05,6.95
29,32,6.95,0.46,60.68
25,36,7.13,0.44,58.96
25,35,7.09,0.43,59.14
21,34,7.03,0.41,49.92
3,31,6.75,0.05,5.91
13,33,6.92,0.29,26.05
5,30,6.83,0.09,4.58
17,33,6.99,0.35,43.14
12,32,6.94,0.24,18.63
1,29,6.74,0.01,4.23
11,31,6.93,0.23,12.26
23,33,7.06,0.42,53.87
23,33,7.05,0.42,54.55
6,30,6.87,0.1,4.15
15,34,6.99,0.32,35.91
6,29,6.83,0.1,3.66
21,32,7.02,0.4,50.91
6,29,6.82,0.09,3.95
28,32,7.04,0.45,61.5
9,31,6.87,0.16,5.73
5,30,6.8,0.08,5.1
19,34,6.95,0.39,45.33
11,30,6.9,0.24,13.34
7,29,6.83,0.14,4.46
28,32,7.05,0.44,62.3
0,25,6.69,0.01,0.0
6,29,6.8,0.09,3.86
16,32,6.98,0.36,40.71
30,29,6.91,0.45,60.37
8,29,6.86,0.14,3.9
14,32,6.96,0.29,30.27
9,30,6.89,0.17,5.5
15,33,6.99,0.32,36.51
23,34,7.06,0.43,54.39
21,33,7.01,0.41,51.02
26,35,7.1,0.44,60.91
5,29,6.83,0.07,4.6
23,35,7.03,0.44,54.53
28,32,7.01,0.45,62.17
25,34,7.1,0.45,59.74
5,30,6.81,0.08,4.94
26,34,7.12,0.44,60.69
0,26,6.65,0.0,0.0
10,29,6.9,0.2,7.89
14,33,6.99,0.3,30.33
7,30,6.84,0.15,3.42
27,33,7.07,0.45,61.75
1,28,6.73,0.02,3.48
6,29,6.82,0.09,4.94
11,31,6.91,0.24,12.78
28,33,7.07,0.46,61.39
14,32,7.0,0.3,31.96
12,30,6.95,0.24,18.35
2,30,6.75,0.02,5.72
1,28,6.77,0.02,3.65
0,25,6.71,0.0,0.0
1,28,6.72,0.01,2.57
5,31,6.82,0.08,4.77
7,30,6.86,0.12,4.43
6,29,6.81,0.12,5.17
15,32,6.99,0.33,36.03
8,31,6.91,0.16,3.5
10,29,6.91,0.22,8.14
14,32,6.99,0.3,31.39
26,36,7.12,0.43,60.25
7,29,6.84,0.15,4.2
24,35,7.1,0.42,56.63
15,34,6.97,0.31,36.92
16,33,7.0,0.34,40.44
9,31,6.83,0.16,5.86
25,35,7.08,0.42,59.09
7,31,6.86,0.15,3.75
9,30,6.84,0.16,5.48
29,33,6.99,0.44,62.6
1,28,6.69,0.02,3.2
4,31,6.75,0.07,5.31
10,30,6.91,0.19,9.91
16,34,6.98,0.34,39.94
18,32,6.97,0.39,44.29
4,29,6.76,0.06,6.06
26,34,7.11,0.44,61.34
20,33,6.99,0.4,48.49
2,29,6.73,0.03,5.88
22,35,7.04,0.42,52.61
1,27,6.7,0.01,2.74
29,32,7.0,0.45,61.9
26,35,7.12,0.46,60.75
5,31,6.79,0.08,4.85
1,29,6.72,0.02,3.23
6,29,6.78,0.1,4.37
21,34,7.03,0.4,49.52
24,34,7.05,0.44,56.86
5,29,6.82,0.08,5.23
27,33,7.1,0.44,61.64
30,30,6.92,0.45,60.9
8,29,6.84,0.16,3.72
22,34,7.05,0.41,52.48
17,32,7.0,0.34,43.1
8,31,6.86,0.15,4.22
4,30,6.8,0.06,5.35
5,31,6.8,0.08,3.81
26,34,7.11,0.44,60.28
11,30,6.91,0.23,12.39
18,34,7.02,0.36,44.41
20,33,7.01,0.39,48.86
1,28,6.72,0.02,2.7
14,33,6.97,0.3,31.86
21,32,7.0,0.42,49.92
28,33,7.02,0.46,62.93
23,33,7.07,0.44,55.15
21,32,7.08,0.41,50.59
24,35,7.04,0.42,57.67
12,32,6.96,0.23,18.98
0,27,6.73,0.01,0.0
12,31,6.97,0.26,19.02
15,33,6.98,0.31,36.84
26,35,7.09,0.43,60.48
3,30,6.76,0.05,5.98
16,32,6.99,0.34,40.55
30,29,6.85,0.45,60.42
11,29,6.92,0.22,12.4
9,31,6.84,0.17,5.82
1,27,6.72,0.01,3.54
26,36,7.09,0.46,60.73
10,31,6.9,0.18,8.16
27,35,7.1,0.46,61.27
6,31,6.83,0.11,4.53
26,35,7.06,0.42,60.47
13,32,6.98,0.26,23.98
17,33,7.0,0.36,43.03
28,33,7.04,0.46,62.22
14,33,6.96,0.29,30.99
28,32,7.06,0.43,62.62
26,36,7.08,0.44,61.43
29,33,7.0,0.43,62.06
30,29,6.9,0.46,60.75
13,32,6.96,0.29,25.14
16,33,7.02,0.34,40.25
2,29,6.76,0.02,5.29
24,34,7.09,0.43,57.89
11,30,6.93,0.24,12.11
22,35,7.06,0.41,51.8
20,33,7.0,0.39,48.02
20,33,7.0,0.4,49.12
12,32,6.93,0.24,18.9
18,34,6.98,0.38,44.63
27,35,7.11,0.45,61.95
21,33,7.02,0.43,51.02
14,33,7.0,0.29,31.63
2,30,6.78,0.03,4.14
7,29,6.85,0.13,3.52
10,30,6.89,0.2,8.48
21,32,7.03,0.4,50.0
4,31,6.8,0.06,5.76
29,33,6.98,0.46,61.02
16,32,7.02,0.35,40.68
5,31,6.8,0.08,4.42
30,28,6.91,0.45,60.81
16,34,7.0,0.35,39.6
1,28,6.7,0.02,3.15
5,30,6.79,0.09,4.62
18,33,7.0,0.38,44.89
2,28,6.74,0.02,4.82
25,36,7.09,0.46,59.39
27,35,7.13,0.43,62.47
5,30,6.79,0.08,5.18
4,29,6.75,0.04,6.15
27,34,7.1,0.44,61.89
22,33,7.07,0.41,52.69
14,33,6.99,0.31,31.21
0,26,6.65,0.0,0.0
22,35,7.01,0.42,53.52
5,31,6.81,0.09,4.19
23,35,7.06,0.42,54.93
25,36,7.13,0.44,59.33
21,32,7.01,0.42,49.82
16,34,6.99,0.33,39.91
25,34,7.11,0.46,59.12
10,31,6.91,0.2,7.61
6,30,6.83,0.09,4.81
18,33,6.99,0.36,44.48
12,30,6.94,0.26,18.64
3,29,6.78,0.04,5.75
25,35,7.11,0.45,60.05
30,28,6.89,0.44,59.41
10,29,6.9,0.2,9.1
3,30,6.76,0.05,5.46
17,33,6.99,0.36,43.71
11,30,6.9,0.23,12.67
3,29,6.72,0.04,6.01
4,31,6.81,0.04,5.47
7,30,6.89,0.12,4.52
16,34,7.02,0.34,40.23
7,29,6.84,0.13,4.62
10,31,6.9,0.21,8.82
5,31,6.82,0.1,4.92
4,29,6.81,0.07,5.24
1,28,6.73,0.02,2.87
6,31,6.8,0.11,3.92
8,31,6.86,0.16,4.2
2,29,6.73,0.04,6.08
24,34,7.08,0.42,56.39
9,30,6.9,0.18,5.48
17,34,7.0,0.36,43.06
15,32,6.99,0.33,35.86
26,34,7.09,0.44,61.11
3,30,6.74,0.06,6.03
12,30,6.94,0.25,18.63
19,33,6.98,0.38,47.05
21,34,7.03,0.41,50.07
15,34,6.99,0.34,35.95
4,30,6.8,0.08,6.34
1,27,6.73,0.0,0.0
17,32,6.98,0.36,42.65
6,30,6.82,0.11,5.29
26,34,7.07,0.44,61.25
28,34,7.05,0.43,62.56
8,30,6.86,0.15,4.65
4,29,6.79,0.07,5.42
13,32,6.96,0.27,26.09
1,27,6.73,0.02,3.52
5,31,6.78,0.09,5.01
13,31,6.97,0.28,25.34
29,32,6.98,0.45,62.45
28,34,7.04,0.43,62.18
27,33,7.08,0.45,62.09
18,33,7.0,0.36,44.97
24,36,7.1,0.43,57.35
19,34,7.0,0.4,47.41
13,32,7.0,0.27,25.49
9,30,6.89,0.16,5.88
28,32,7.02,0.47,62.46
17,33,6.99,0.35,42.18
11,31,6.94,0.23,12.12
8,30,6.9,0.15,3.84
23,35,7.05,0.44,54.44
19,33,6.97,0.38,46.05
18,33,7.02,0.38,45.21
26,35,7.13,0.44,60.94
12,31,6.94,0.25,19.4
13,32,6.97,0.3,25.5
9,30,6.89,0.17,4.89
6,29,6.83,0.1,4.33
12,30,6.95,0.27,19.84
30,28,6.91,0.44,59.78
8,30,6.82,0.16,4.04
6,29,6.83,0.09,3.61
12,31,6.92,0.26,18.26
27,34,7.08,0.43,62.48
6,31,6.87,0.11,4.12
15,32,6.95,0.32,36.17
28,33,7.05,0.45,62.4
25,36,7.1,0.44,58.92
24,36,7.13,0.43,57.7
0,25,6.67,0.0,0.0
23,35,7.06,0.44,54.12
18,34,6.97,0.37,44.9
27,34,7.11,0.44,61.73
16,33,7.02,0.35,39.75
28,33,7.07,0.44,62.49
23,33,7.04,0.41,54.68
10,29,6.89,0.19,8.0
19,34,6.98,0.37,46.12
4,30,6.8,0.08,6.31
3,30,6.74,0.04,6.18
13,33,6.97,0.27,26.53
21,32,7.03,0.41,50.16
14,33,7.01,0.3,30.77
12,31,6.93,0.26,19.1
29,33,6.97,0.46,62.28
8,29,6.82,0.13,4.78
21,33,7.03,0.42,49.4
6,29,6.82,0.11,4.22
12,30,6.96,0.25,18.37
10,31,6.87,0.21,8.4
19,34,6.96,0.39,46.5
19,33,7.0,0.4,46.65
11,30,6.92,0.23,12.0
29,31,6.99,0.46,61.47
21,32,7.05,0.41,49.63
21,33,7.03,0.41,50.2
26,36,7.12,0.43,59.74
1,29,6.7,0.02,3.26
28,32,7.05,0.43,63.16
8,31,6.9,0.15,4.45
23,35,7.1,0.43,54.44
3,31,6.75,0.05,5.8
18,32,6.99,0.37,45.02
7,29,6.85,0.15,3.27
5,29,6.78,0.08,5.32
3,29,6.76,0.04,5.28
20,34,7.03,0.42,48.89
14,32,6.95,0.3,30.56
23,35,7.06,0.42,55.14
5,29,6.81,0.09,5.12
26,36,7.12,0.44,61.22
18,34,6.96,0.38,44.78
15,34,6.99,0.31,37.09
2,30,6.74,0.03,5.4
29,31,6.98,0.46,61.13
18,34,6.97,0.37,45.96
16,34,7.0,0.32,39.96
21,33,7.05,0.4,50.71
7,31,6.82,0.14,3.52
22,35,7.01,0.41,52.73
27,35,7.09,0.44,61.95
16,33,7.01,0.31,39.66
29,32,6.99,0.45,62.63
13,33,6.97,0.25,24.47
20,34,6.99,0.4,47.69
13,33,6.99,0.27,25.08
15,34,7.0,0.32,36.71
5,31,6.82,0.08,5.18
25,36,7.1,0.44,59.51
6,29,6.79,0.11,4.6
2,29,6.74,0.01,5.56
6,30,6.86,0.11,4.94
4,29,6.77,0.05,5.25
25,34,7.1,0.45,57.43
7,31,6.86,0.13,4.66
17,34,7.02,0.37,44.08
27,33,7.1,0.45,62.01
29,31,6.96,0.45,61.46
12,31,6.94,0.26,18.52
23,34,7.06,0.42,54.94
20,34,6.98,0.4,47.98
23,35,7.06,0.43,54.71
15,34,6.99,0.3,36.08
1,28,6.71,0.01,2.82
1,28,6.74,0.02,3.31
29,32,7.02,0.46,61.51
7,29,6.82,0.13,4.76
19,34,6.98,0.39,46.64
16,32,7.0,0.32,40.48
12,32,6.97,0.26,17.69
9,31,6.86,0.18,6.58
7,29,6.84,0.14,3.49
18,34,6.99,0.37,46.0
25,35,7.12,0.45,58.85
19,33,7.02,0.38,46.58
1,29,6.72,0.0,0.0
4,30,6.77,0.08,5.85
16,33,7.0,0.35,39.26
22,34,7.06,0.42,52.35
13,31,6.98,0.28,25.36
10,31,6.9,0.2,8.23
15,33,7.01,0.32,36.52
0,25,6.69,0.0,0.0
5,31,6.8,0.08,4.85
21,32,7.02,0.42,49.91
0,26,6.67,0.01,0.0
4,30,6.78,0.05,6.57
5,29,6.81,0.08,5.19
0,25,6.71,0.0,0.0
8,31,6.87,0.14,4.93
22,33,7.06,0.44,52.5
30,29,6.9,0.45,60.41
1,28,6.74,0.02,3.59
29,32,7.01,0.45,61.51
26,34,7.09,0.45,60.75
28,34,7.07,0.43,62.06
3,30,6.76,0.05,5.58
15,32,7.01,0.3,36.55
5,31,6.81,0.06,4.84
16,32,7.0,0.33,39.79
19,34,6.96,0.39,47.18
30,30,6.85,0.45,60.06
19,33,6.97,0.37,45.75
19,32,6.98,0.39,45.36
10,30,6.93,0.21,9.63
21,34,7.03,0.41,49.24
6,29,6.79,0.11,4.25
10,30,6.88,0.2,8.64
4,29,6.78,0.07,6.15
4,31,6.78,0.07,5.57
24,35,7.05,0.44,57.16
18,34,7.0,0.37,45.32
24,35,7.12,0.41,56.52
15,34,6.97,0.31,36.52
2,30,6.76,0.04,4.91
16,33,7.0,0.33,41.11
13,32,6.96,0.26,24.46
20,33,7.01,0.4,48.11
3,30,6.75,0.03,5.27
13,32,6.96,0.28,25.98
9,30,6.89,0.18,5.81
12,30,6.96,0.25,18.44
15,33,6.99,0.32,35.38
2,28,6.76,0.02,4.54
2,28,6.78,0.04,5.4
20,32,6.99,0.38,48.28
20,34,6.99,0.41,48.59
16,34,6.99,0.36,40.36
25,35,7.11,0.45,58.57
29,33,6.99,0.47,61.47
19,33,6.97,0.39,45.91
9,31,6.91,0.17,5.59
9,29,6.89,0.17,5.97
21,33,7.01,0.43,50.53
22,33,7.06,0.42,52.21
15,33,7.02,0.33,36.09
0,27,6.7,0.01,0.0
28,32,7.1,0.43,62.39
19,34,6.98,0.4,47.02
30,28,6.89,0.46,60.28
12,31,6.94,0.25,18.52
12,32,6.95,0.25,18.72
17,32,6.97,0.36,44.01
16,34,6.99,0.33,40.59
18,34,7.02,0.36,45.91
1,29,6.72,0.02,3.33
13,33,6.95,0.3,24.22
27,35,7.04,0.44,62.32
7,31,6.84,0.13,4.58
26,34,7.11,0.44,60.57
8,29,6.87,0.16,3.98
28,34,7.08,0.47,63.26
22,35,7.07,0.42,53.03
7,29,6.83,0.12,3.57
22,35,7.06,0.39,51.82
12,32,6.99,0.24,19.02
10,29,6.9,0.2,6.89
21,32,7.0,0.41,50.96
29,32,7.0,0.46,61.74
3,31,6.75,0.05,6.17
3,30,6.76,0.03,6.23
25,36,7.1,0.43,59.94
12,30,6.96,0.26,18.63
14,34,6.95,0.31,31.38
9,29,6.9,0.16,5.0
6,29,6.83,0.1,4.1
11,31,6.92,0.21,13.0
12,32,6.97,0.23,18.41
14,32,6.96,0.32,32.21
6,29,6.83,0.1,4.46
16,32,6.97,0.35,40.48
1,27,6.75,0.02,3.75
13,32,6.99,0.28,24.96
20,34,6.99,0.38,48.0
25,35,7.08,0.44,59.97
12,30,6.92,0.23,19.78
14,32,6.98,0.3,31.39
9,31,6.86,0.16,5.65
1,29,6.7,0.02,3.46
18,32,7.02,0.37,45.33
14,32,6.96,0.28,30.99
20,34,7.04,0.4,48.12
11,31,6.91,0.23,13.3
6,31,6.83,0.11,4.34
20,32,6.97,0.38,48.92
29,31,6.96,0.45,61.26
4,30,6.77,0.08,6.59
6,31,6.79,0.1,3.86
9,31,6.87,0.18,5.86
25,35,7.09,0.44,59.01
13,32,6.95,0.27,25.15
24,36,7.1,0.43,57.42
27,35,7.13,0.44,62.69
29,32,7.0,0.44,62.03
12,32,7.0,0.26,19.03
22,35,7.03,0.42,52.03
4,31,6.79,0.06,6.19
25,35,7.09,0.46,60.28
18,32,7.0,0.36,44.59
4,31,6.75,0.05,5.61
27,33,7.08,0.47,62.51
12,30,6.99,0.26,18.99
20,34,7.02,0.42,47.74
28,34,7.04,0.45,62.05
6,31,6.84,0.11,5.42
24,35,7.03,0.44,57.35
13,32,7.0,0.29,25.91
26,35,7.08,0.44,61.74
17,33,7.02,0.37,43.6
5,29,6.77,0.07,5.04
6,30,6.82,0.09,4.2
23,33,7.07,0.42,54.11
18,33,7.03,0.39,45.04
5,30,6.8,0.09,4.87
18,32,7.01,0.36,45.03
29,32,6.99,0.46,62.34
27,35,7.13,0.45,62.23
18,34,6.99,0.37,44.44
14,32,7.01,0.3,31.3
7,30,6.85,0.13,5.41
3,30,6.73,0.04,5.18
24,34,7.1,0.44,56.4
13,32,6.98,0.29,25.11
26,36,7.09,0.44,61.54
4,29,6.77,0.06,5.63
10,31,6.89,0.22,9.06
22,33,7.04,0.44,51.61
21,33,7.03,0.41,50.46
28,34,7.06,0.44,62.26
4,31,6.81,0.07,5.21
23,34,7.09,0.43,54.9
1,29,6.73,0.0,0.0
28,33,7.09,0.44,62.06
19,33,7.0,0.38,47.04
3,31,6.75,0.06,6.11
11,29,6.9,0.22,12.89
5,29,6.82,0.08,5.21
15,32,7.02,0.32,37.13
16,33,6.99,0.35,40.79
30,28,6.87,0.47,61.12
24,34,7.12,0.44,58.54
15,34,7.0,0.32,36.83
26,34,7.06,0.45,60.85
26,34,7.1,0.43,60.49
16,34,7.02,0.34,40.87
11,31,6.92,0.21,13.45
12,30,6.92,0.25,19.21
13,33,6.96,0.29,24.46
6,31,6.81,0.09,3.8
2,29,6.72,0.02,4.77
6,31,6.81,0.09,3.94
7,30,6.82,0.15,4.53
1,27,6.74,0.01,3.6
4,31,6.79,0.04,6.45
14,34,7.02,0.3,31.66
0,26,6.71,0.0,0.0
21,34,7.02,0.41,50.62
0,25,6.73,0.01,0.76
7,31,6.85,0.13,4.45
10,31,6.87,0.2,8.94
4,30,6.78,0.07,5.59
25,34,7.11,0.44,58.84
2,30,6.75,0.02,5.21
15,34,7.02,0.31,36.32
15,33,6.98,0.32,36.81
28,32,7.04,0.45,61.28
7,31,6.85,0.12,4.23
7,30,6.84,0.12,4.01
3,30,6.77,0.05,5.38
6,31,6.82,0.11,4.32
9,30,6.93,0.16,6.02
10,29,6.9,0.2,8.39
22,34,7.04,0.43,52.32
23,33,7.05,0.43,55.75
8,31,6.84,0.16,3.86
8,31,6.82,0.14,3.68
3,30,6.75,0.04,5.68
24,34,7.1,0.44,56.91
8,29,6.82,0.14,3.67
8,30,6.86,0.14,5.14
27,35,7.1,0.44,61.53
21,32,7.03,0.42,50.15
27,35,7.11,0.46,61.96
29,31,6.97,0.44,62.86
26,34,7.09,0.44,60.68
16,32,7.0,0.32,41.09
8,29,6.86,0.14,4.18
18,33,7.01,0.36,45.23
5,29,6.79,0.08,6.0
27,34,7.06,0.45,62.16
5,30,6.8,0.07,4.44
18,33,7.0,0.38,44.55
14,34,6.97,0.31,31.16
30,30,6.88,0.45,60.91
13,33,6.97,0.28,25.46
29,33,6.96,0.46,62.76
23,35,7.07,0.42,54.72
9,29,6.9,0.18,7.01
19,34,6.98,0.39,47.11
30,28,6.92,0.45,60.48
16,32,7.02,0.34,40.13
24,34,7.08,0.43,56.83
26,34,7.07,0.44,60.28
10,30,6.91,0.2,9.08
9,29,6.87,0.17,4.71
30,28,6.9,0.44,61.0
27,34,7.07,0.45,62.23
4,30,6.76,0.08,6.3
25,34,7.11,0.45,59.84
23,33,7.09,0.44,54.5
12,31,6.94,0.24,20.06
8,31,6.84,0.14,3.78
19,33,6.99,0.39,46.9
29,33,6.97,0.45,62.36
0,26,6.69,0.01,0.37
15,33,6.99,0.33,35.22
0,27,6.7,0.0,0.0
9,31,6.9,0.17,5.61
16,32,6.98,0.35,41.16
3,31,6.77,0.04,6.33
14,32,6.98,0.3,31.04
29,32,7.0,0.45,62.73
5,31,6.83,0.08,5.36
26,35,7.1,0.44,60.19
27,35,7.08,0.44,61.53
19,32,7.02,0.41,46.49
3,30,6.76,0.05,6.59
26,35,7.14,0.43,60.93
28,32,7.08,0.46,62.44
27,33,7.13,0.45,61.91
25,34,7.1,0.42,58.53
30,30,6.89,0.45,59.92
7,30,6.84,0.12,3.75
9,31,6.86,0.16,5.33
20,32,7.01,0.39,48.16
20,34,7.0,0.39,47.42
4,29,6.8,0.06,6.34
15,34,6.98,0.33,35.55
6,31,6.81,0.1,4.4
21,34,7.01,0.4,51.14
10,31,6.89,0.21,7.7
26,34,7.1,0.43,61.24
15,32,7.0,0.31,36.97
7,31,6.84,0.14,4.74
26,35,7.09,0.44,61.11
5,31,6.77,0.09,4.32
11,30,6.94,0.23,12.91
30,29,6.91,0.44,60.43
5,29,6.8,0.06,5.04
18,33,6.98,0.38,45.55
0,27,6.72,0.01,0.0
1,27,6.7,0.01,3.41
8,30,6.85,0.15,2.94
27,35,7.09,0.44,62.39
6,31,6.82,0.1,3.9
18,33,7.0,0.37,45.95
30,29,6.92,0.44,59.87
14,33,6.99,0.29,30.97
29,33,6.98,0.46,61.12
13,31,6.97,0.25,25.23
11,29,6.95,0.21,12.94
27,34,7.09,0.45,61.46
10,31,6.9,0.21,7.85
4,29,6.76,0.08,6.19
25,36,7.14,0.46,58.95
7,31,6.85,0.14,4.06
28,32,7.08,0.44,63.65
1,27,6.71,0.0,0.0
19,34,7.0,0.38,46.84
14,34,6.99,0.31,31.7
7,31,6.9,0.13,3.56
13,31,6.98,0.28,24.35
23,33,7.08,0.43,54.84
7,29,6.85,0.13,3.81
17,32,7.01,0.37,43.21
18,33,7.03,0.37,44.52
9,29,6.9,0.15,6.31
27,35,7.09,0.46,61.34
27,35,7.06,0.45,61.67
21,34,6.99,0.41,49.96
20,34,7.0,0.39,46.58
3,30,6.77,0.04,6.55
29,31,6.96,0.45,62.07
7,29,6.85,0.14,3.82
14,34,6.98,0.3,31.49
17,33,6.99,0.35,42.99
30,28,6.93,0.45,61.67
21,34,7.01,0.41,50.06
9,30,6.85,0.18,5.35
13,33,6.99,0.28,24.64
17,34,7.01,0.37,44.29
25,34,7.08,0.44,59.11
10,30,6.9,0.2,8.06
22,33,7.04,0.42,52.49
7,31,6.85,0.14,2.8
21,32,7.05,0.4,50.98
18,34,6.99,0.38,45.08
1,29,6.72,0.0,0.0
20,33,6.99,0.39,47.84
0,25,6.69,0.0,0.0
28,32,7.05,0.44,61.65
1,27,6.67,0.02,3.26
27,34,7.08,0.45,62.32
1,29,6.72,0.01,3.52
20,32,7.0,0.4,47.62
25,34,7.12,0.42,59.55
5,30,6.81,0.08,4.3
17,33,7.02,0.36,43.99
22,33,7.04,0.43,51.94
21,34,7.01,0.4,50.74
27,33,7.11,0.45,61.88
0,27,6.68,0.0,0.0
7,31,6.84,0.12,3.97
10,31,6.94,0.21,9.26
5,29,6.81,0.08,5.42
13,32,6.96,0.29,24.23
14,33,6.96,0.3,32.13
29,31,7.02,0.47,61.61
27,34,7.07,0.46,61.67
27,34,7.1,0.45,61.86
16,34,7.01,0.35,39.95
26,34,7.13,0.43,60.17
28,32,7.06,0.45,62.48
13,32,6.99,0.29,25.35
7,30,6.84,0.13,3.46
24,34,7.1,0.43,56.45
3,29,6.71,0.05,5.41
14,33,7.0,0.31,31.7
9,31,6.87,0.18,6.39
4,30,6.77,0.06,5.86
16,32,7.02,0.35,40.84
6,29,6.84,0.1,4.26
29,32,6.97,0.47,62.87
14,34,6.97,0.29,30.84
19,33,6.98,0.4,46.48
8,31,6.88,0.15,4.13
7,30,6.86,0.13,3.68
1,27,6.75,0.0,0.0
20,34,6.98,0.4,47.9
8,30,6.87,0.13,3.48
7,30,6.84,0.13,4.09
13,31,6.95,0.27,26.04
6,29,6.81,0.1,4.04
7,30,6.83,0.13,3.23
14,34,6.95,0.3,31.13
27,34,7.08,0.45,62.7
30,28,6.93,0.43,59.95
13,32,6.96,0.28,24.83
27,35,7.08,0.45,62.23
4,30,6.77,0.05,6.15
25,34,7.06,0.44,58.57
15,32,7.02,0.33,35.71
21,33,7.05,0.4,50.83
5,30,6.8,0.07,4.97
2,29,6.76,0.01,5.7
11,31,6.96,0.24,13.32
9,29,6.89,0.14,6.65
27,35,7.15,0.43,62.38
9,30,6.86,0.18,5.6
15,32,7.01,0.34,37.01
29,31,6.95,0.46,61.6
29,32,6.99,0.46,62.04
28,32,7.07,0.46,62.19
17,33,7.02,0.37,42.99
24,34,7.09,0.46,56.8
22,35,7.07,0.42,52.7
25,36,7.07,0.44,60.04
25,35,7.09,0.47,59.8
2,30,6.72,0.01,4.71
0,27,6.72,0.01,0.4
1,28,6.7,0.0,0.0
24,34,7.11,0.44,57.54
6,29,6.84,0.12,4.3
30,30,6.87,0.46,59.97
26,35,7.08,0.45,61.11
13,31,6.98,0.27,25.27
13,31,6.97,0.28,25.2
9,30,6.88,0.17,4.44
11,29,6.96,0.22,11.78
2,28,6.75,0.02,4.84
7,29,6.82,0.14,4.24
30,29,6.91,0.45,59.95
27,33,7.12,0.44,61.97
8,31,6.86,0.15,4.48
4,30,6.79,0.04,6.38
30,28,6.92,0.45,60.1
6,31,6.84,0.09,5.54
15,34,6.99,0.32,36.54
29,33,6.99,0.45,61.84
5,29,6.76,0.1,4.21
6,31,6.81,0.11,4.29
17,34,7.0,0.36,42.17
22,34,7.02,0.43,52.5
17,32,7.01,0.37,42.82
10,29,6.91,0.19,7.84
20,33,7.03,0.41,48.48
28,34,7.05,0.44,62.98
17,32,7.0,0.36,43.67
26,36,7.06,0.44,60.9
18,34,7.03,0.37,44.3
15,33,6.97,0.32,36.8
4,30,6.8,0.05,5.98
9,30,6.9,0.18,5.3
17,34,6.98,0.37,43.61
6,29,6.79,0.1,3.99
23,34,7.05,0.45,55.14
15,32,6.99,0.31,36.06
30,29,6.88,0.44,61.27
17,34,6.96,0.37,43.73
12,30,6.96,0.25,18.67
10,31,6.9,0.19,7.82
21,34,6.99,0.39,49.3
25,35,7.13,0.44,58.91
15,33,7.0,0.31,36.53
3,30,6.77,0.05,5.91
27,34,7.08,0.45,61.42
21,33,7.04,0.4,50.44
13,33,6.96,0.29,24.27
8,29,6.84,0.16,4.09
29,31,6.99,0.44,62.39
7,30,6.85,0.13,3.82
19,34,6.96,0.39,47.62
13,32,6.97,0.26,25.22
12,32,6.97,0.23,18.94
